"date","stamp","year"
2014-06-14,15.070375,2014
2014-06-15,14.776,2014
2014-06-16,16.1145416666667,2014
2014-06-17,17.2344583333333,2014
2014-06-18,17.45575,2014
2014-06-19,16.645875,2014
2014-06-20,15.7135416666667,2014
2014-06-21,16.476625,2014
2014-06-22,17.390625,2014
2014-06-23,17.8099166666667,2014
2014-06-24,18.1874166666667,2014
2014-06-25,18.5442916666667,2014
2014-06-26,19.0260833333333,2014
2014-06-27,17.7343333333333,2014
2014-06-28,16.9530833333333,2014
2014-06-29,17.4089166666667,2014
2014-06-30,18.3749166666667,2014
2014-07-01,19.2475,2014
2014-07-02,20.1874166666667,2014
2014-07-03,19.4505416666667,2014
2014-07-04,19.046875,2014
2014-07-05,18.7525833333333,2014
2014-07-06,18.9400416666667,2014
2014-07-07,20.1120416666667,2014
2014-07-08,20.9115833333333,2014
2014-07-09,21.1380416666667,2014
2014-07-10,20.645875,2014
2014-07-11,20.5911666666667,2014
2014-07-12,21.2604166666667,2014
2014-07-13,21.268125,2014
2014-07-14,21.9582916666667,2014
2014-07-15,22.065125,2014
2014-07-16,21.3125416666667,2014
2014-07-17,20.770875,2014
2014-07-18,19.807375,2014
2014-07-19,19.541625,2014
2014-07-20,19.7343333333333,2014
2014-07-21,20.1196666666667,2014
2014-07-22,20.4505,2014
2014-07-23,19.8569583333333,2014
2014-07-24,19.377625,2014
2014-07-25,19.489625,2014
2014-07-26,19.9791666666667,2014
2014-07-27,20.4974583333333,2014
2014-07-28,21.3254583333333,2014
2014-07-29,21.62,2014
2014-07-30,22.0520416666667,2014
2014-07-31,22.1354583333333,2014
2014-08-01,22.3880416666667,2014
2014-08-02,22.5311666666667,2014
2014-08-03,22.578125,2014
2014-08-04,22.4556666666667,2014
2014-08-05,22.156375,2014
2014-08-06,21.9609583333333,2014
2014-08-07,21.507875,2014
2014-08-08,21.0729166666667,2014
2014-08-09,21.018125,2014
2014-08-10,21.6379583333333,2014
2014-08-11,22.24475,2014
2014-08-12,22.0625416666667,2014
2014-08-13,21.981875,2014
2014-08-14,22.242375,2014
2014-08-15,21.3958333333333,2014
2014-08-16,21.3984166666667,2014
2014-08-17,22.0520833333333,2014
2014-08-18,21.8620416666667,2014
2014-08-19,21.98175,2014
2014-08-20,21.5806666666667,2014
2014-08-21,20.997375,2014
2014-08-22,20.6797916666667,2014
2014-08-23,20.9087916666667,2014
2014-08-24,21.1015416666667,2014
2014-08-25,21.2915416666667,2014
2014-08-26,21.6275416666667,2014
2014-08-27,21.65625,2014
2014-08-28,21.5625416666667,2014
2014-08-29,20.6171666666667,2014
2014-08-30,20.510375,2014
2014-08-31,20.2005833333333,2014
2014-09-01,20.0990416666667,2014
2014-09-02,19.6978333333333,2014
2014-09-03,19.7317083333333,2014
2014-09-04,19.697875,2014
2014-09-05,19.8464166666667,2014
2014-09-06,20.221375,2014
2014-09-07,20.4219166666667,2014
2014-09-08,20.252625,2014
2014-09-09,19.7995416666667,2014
2014-09-10,19.3671666666667,2014
2014-09-11,18.6875833333333,2014
2014-09-12,18.5107826086957,2014
2014-09-13,18.5755416666667,2014
2014-09-14,18.721375,2014
