date,site,depth,salinity,temp,pH,do_mgl,do_sat
15-Jul,5km Center,40,31.84,9.1,,2.17,23.70%
22-Jul,River/Outfall,River:,0.03,18.28,,9.03,98.50%
22-Jul,River/Outfall,0,0.22,19.25,,8.96,99.60%
22-Jul,River/Outfall,1,0.23,19.27,,8.7,96.80%
22-Jul,River/Outfall,2,0.67,19.91,,8.49,95.80%
22-Jul,River/Outfall,3,2.18,20.32,,8.53,97.80%
22-Jul,River/Outfall,4,3.21,20.54,,8.61,99.70%
22-Jul,River/Outfall,5,9.82,18.87,,8.46,98.70%
22-Jul,River/Outfall,6,30.53,10.73,,6.41,71.90%
22-Jul,River/Outfall,7,30.78,10.26,,6.25,69.50%
22-Jul,River/Outfall,8,30.98,10.01,,5.42,60.00%
22-Jul,River/Outfall,9,31.04,9.97,,4.73,52.40%
22-Jul,River/Outfall,10,31.16,9.78,,3.83,42.20%
22-Jul,Hohm Island 2,0,1.36,20.17,,9.04,102.90%
22-Jul,Hohm Island 2,1,1.93,20.43,,8.91,102.30%
22-Jul,Hohm Island 2,2,2.5,20.41,,8.86,102.00%
22-Jul,Hohm Island 2,3,2.78,20.46,,8.96,103.40%
22-Jul,Hohm Island 2,4,2.93,20.45,,8.93,103.10%
22-Jul,Hohm Island 2,5,14.3,17.37,,8.41,97.90%
22-Jul,Hohm Island 2,6,29.54,11.88,,7.89,90.30%
22-Jul,Hohm Island 2,7,30.45,10.78,,7.11,79.80%
22-Jul,Hohm Island 2,8,30.78,10.28,,7.16,79.70%
22-Jul,Hohm Island 2,9,30.89,10.11,,5.65,62.70%
22-Jul,Hohm Island 2,10,31.06,9.92,,4.81,53.20%
22-Jul,Hohm Island 2,12,31.21,9.72,,4.03,44.40%
22-Jul,Hohm Island 2,15,31.33,9.56,,2.84,31.20%
22-Jul,Polly's Point 2,0,3.14,20.48,,8.91,103.10%
22-Jul,Polly's Point 2,1,3.16,20.52,,8.9,103.00%
22-Jul,Polly's Point 2,2,3.15,20.53,,8.91,103.20%
22-Jul,Polly's Point 2,3,3.22,20.54,,8.91,103.20%
22-Jul,Polly's Point 2,4,8.46,19.77,,8.7,102.40%
22-Jul,Polly's Point 2,5,27.72,13.34,,7.5,87.50%
22-Jul,Polly's Point 2,6,29.83,11.63,,7.33,83.50%
22-Jul,Polly's Point 2,7,30.76,10.38,,6.71,74.80%
22-Jul,Polly's Point 2,8,30.85,10.15,,5.76,63.90%
22-Jul,Polly's Point 2,9,31.02,9.92,,4.49,49.60%
22-Jul,Polly's Point 2,10,31.1,9.82,,4.1,45.20%
22-Jul,Polly's Point 2,12,31.31,9.62,,3.51,38.60%
22-Jul,Polly's Point 2,15,31.4,9.48,,2.25,24.70%
22-Jul,Polly's Point 2,20,31.58,9.33,,1.73,18.90%
22-Jul,Polly's Point 2,25,31.7,9.22,,1.5,16.40%
22-Jul,5km Center,0,3.63,20.49,,9.07,105.20%
22-Jul,5km Center,1,3.63,20.49,,9,104.40%
22-Jul,5km Center,2,3.68,20.48,,8.99,104.30%
22-Jul,5km Center,3,4.87,20.32,,8.95,104.20%
22-Jul,5km Center,4,7.66,19.74,,9.02,105.60%
22-Jul,5km Center,5,15.21,17.37,,8.34,97.60%
22-Jul,5km Center,6,29.72,11.55,,7.32,83.20%
22-Jul,5km Center,7,30.51,10.68,,7.24,81.20%
22-Jul,5km Center,8,30.95,10.05,,5.8,64.30%
22-Jul,5km Center,9,30.99,9.98,,4.57,50.60%
22-Jul,5km Center,10,31.15,9.78,,4.2,46.30%
22-Jul,5km Center,12,31.32,9.61,,3.56,39.20%
22-Jul,5km Center,15,31.4,9.49,,3.21,35.20%
22-Jul,5km Center,20,31.59,9.31,,2.86,31.30%
22-Jul,5km Center,25,31.7,9.19,,2.14,23.40%
22-Jul,5km Center,30,31.86,9.08,,2.02,22.00%
22-Jul,5km Center,35,31.91,9.01,,2.17,23.60%
22-Jul,5km Center,40,32.01,8.96,,2.18,23.70%
27-Jul,River/Outfall,River:,0.09,21.32,,8.54,0.986101021
27-Jul,River/Outfall,0,0.64,21.45,,8.43,0.978712413
27-Jul,River/Outfall,1,2.32,21.77,,8.09,0.953678986
27-Jul,River/Outfall,2,3.75,22.16,,7.93,0.949084908
27-Jul,River/Outfall,3,7.69,21.82,,7.87,0.957650265
27-Jul,River/Outfall,4,29.36,12.17,,6.34,0.728979647
27-Jul,River/Outfall,5,30.77,10.75,,6.05,0.680406751
27-Jul,River/Outfall,6,30.94,10.42,,5.52,0.616877476
27-Jul,River/Outfall,7,31.17,10.05,,5.19,0.576006086
27-Jul,River/Outfall,8,31.26,9.9,,4.39,0.485836174
27-Jul,River/Outfall,9,31.4,9.61,,3.33,0.366411343
27-Jul,Hohm Island 2,0,3.21,22.22,,8.39,1.002137865
27-Jul,Hohm Island 2,1,3.36,22.23,,8.38,1.001976846
27-Jul,Hohm Island 2,2,3.46,22.21,,8.37,1.000991132
27-Jul,Hohm Island 2,3,9.1,21.2,,8.01,0.971748894
27-Jul,Hohm Island 2,4,28.16,13.07,,6.95,0.80839386
27-Jul,Hohm Island 2,5,30.91,10.46,,6.76,0.755986502
27-Jul,Hohm Island 2,6,31.14,10.02,,6.19,0.686377615
27-Jul,Hohm Island 2,7,31.25,9.8,,5.21,0.575217211
27-Jul,Hohm Island 2,8,31.35,9.73,,3.85,0.424664315
27-Jul,Hohm Island 2,9,31.35,9.69,,2.96,0.326193061
27-Jul,Hohm Island 2,10,31.44,9.58,,2.07,0.227672307
27-Jul,Hohm Island 2,12,31.49,9.5,,1.86,0.204264318
27-Jul,Hohm Island 2,15,31.62,9.38,,1.7,0.186336134
27-Jul,Polly's Point 2,0,4.83,22.39,,8.24,0.996393556
27-Jul,Polly's Point 2,1,4.89,22.43,,8.3,1.00471278
27-Jul,Polly's Point 2,2,4.87,22.43,,8.29,1.003387186
27-Jul,Polly's Point 2,3,6.26,22.38,,8.24,1.004450591
27-Jul,Polly's Point 2,4,23.39,15.25,,6.73,0.79436899
27-Jul,Polly's Point 2,5,30.6,11.14,,6.56,0.743414486
27-Jul,Polly's Point 2,6,30.89,10.53,,6.99,0.782847143
27-Jul,Polly's Point 2,7,31.2,9.95,,5.83,0.645680822
27-Jul,Polly's Point 2,8,31.36,9.64,,4.97,0.54709872
27-Jul,Polly's Point 2,9,31.46,9.54,,3.66,0.402231693
27-Jul,Polly's Point 2,10,31.49,9.51,,2.16,0.237265341
27-Jul,Polly's Point 2,12,31.58,9.42,,2.11,0.231429061
27-Jul,Polly's Point 2,15,31.71,9.32,,2.07,0.226712382
27-Jul,Polly's Point 2,20,31.85,9.17,,1.48,0.161679478
27-Jul,5km Center,0,5.3,21.73,,8.66,1.037610613
27-Jul,5km Center,1,5.67,22.23,,8.51,1.031062157
27-Jul,5km Center,2,7.39,22.07,,8.33,1.016428039
27-Jul,5km Center,3,9.24,21.12,,8.21,0.995374617
27-Jul,5km Center,4,24.55,14.71,,6.96,0.818508937
27-Jul,5km Center,5,30.47,11.77,,6.73,0.77276759
27-Jul,5km Center,6,31.07,9.97,,6.26,0.69301452
27-Jul,5km Center,7,31.34,9.66,,5.23,0.5759086
27-Jul,5km Center,8,31.46,9.56,,4.52,0.49697598
27-Jul,5km Center,9,31.46,9.52,,4,0.439393204
27-Jul,5km Center,10,31.57,9.45,,3.67,0.402787094
27-Jul,5km Center,12,31.59,9.36,,3.28,0.359278432
27-Jul,5km Center,15,31.66,9.26,,3.04,0.332370411
27-Jul,5km Center,20,31.81,9.16,,2.8,0.305725441
27-Jul,5km Center,25,31.95,9.07,,2.33,0.254111815
27-Jul,5km Center,30,31.97,9,,2.21,0.24066086
27-Jul,5km Center,35,32.02,8.93,,2.19,0.238170997
27-Jul,5km Center,40,32.08,8.88,,2.09,0.227120322
27-Jul,5km Center,45,32.03,8.82,,2.13,0.231060916
27-Jul,5km Center,50,32.11,8.8,,2.35,0.254944429
3-Aug,River/Outfall,River:,0.03,18.83,,9.36,1.031349036
3-Aug,River/Outfall,0,0.38,19.27,,8.91,0.991957054
3-Aug,River/Outfall,1,0.36,19.21,,8.89,0.988494576
3-Aug,River/Outfall,2,0.83,20.04,,8.8,0.996513329
3-Aug,River/Outfall,3,1.36,20.72,,8.64,0.993773388
3-Aug,River/Outfall,4,3.24,22.83,,8.43,1.018112449
3-Aug,River/Outfall,5,12.01,21.2,,7.53,0.929412521
3-Aug,River/Outfall,6,20.53,16.37,,6.22,0.737505275
3-Aug,River/Outfall,7,28.11,12.87,,6.06,0.701613574
3-Aug,River/Outfall,8,30.51,11.02,,5.29,0.597517941
3-Aug,River/Outfall,9,30.82,10.56,,4.86,0.544411139
3-Aug,Hohm Island 2,0,1.67,21.1,,8.9,1.032652641
3-Aug,Hohm Island 2,1,1.73,21.2,,8.77,1.019777197
3-Aug,Hohm Island 2,2,3.13,22.09,,8.49,1.011256778
3-Aug,Hohm Island 2,3,3.2,22.14,,8.55,1.019724771
3-Aug,Hohm Island 2,4,4.21,22.37,,8.473,1.020573771
3-Aug,Hohm Island 2,5,10.84,22.44,,7.81,0.978975697
3-Aug,Hohm Island 2,6,18.23,17.79,,7.23,0.869076532
3-Aug,Hohm Island 2,7,29.18,12.31,,6.25,0.719969674
3-Aug,Hohm Island 2,8,29.47,11.94,,6.22,0.712102785
3-Aug,Hohm Island 2,9,30.53,11.07,,6.13,0.693268764
3-Aug,Hohm Island 2,10,30.71,10.76,,5.81,0.65329907
3-Aug,Hohm Island 2,12,31.18,10,,4.94,0.547667653
3-Aug,Polly's Point 2,0,3.21,22.18,,8.68,1.036032442
3-Aug,Polly's Point 2,1,3.21,22.19,,8.52,1.017117709
3-Aug,Polly's Point 2,2,3.31,22.25,,8.5,1.016400756
3-Aug,Polly's Point 2,3,3.71,22.39,,8.43,1.012864586
3-Aug,Polly's Point 2,4,7.37,22.64,,8.15,1.004548054
3-Aug,Polly's Point 2,5,8.71,22.44,,8.07,0.998931887
3-Aug,Polly's Point 2,6,18.19,18.53,,6.93,0.844823938
3-Aug,Polly's Point 2,7,28.71,12.78,,6.5,0.754088868
3-Aug,Polly's Point 2,8,30.08,12.07,,6.33,0.729741606
3-Aug,Polly's Point 2,9,31.1,11.21,,5.85,0.666234064
3-Aug,Polly's Point 2,10,30.82,10.49,,5.75,0.643084507
3-Aug,Polly's Point 2,12,31.05,10.12,,5.37,0.596457759
3-Aug,Polly's Point 2,15,31.3,9.82,,4.99,0.551368558
3-Aug,Polly's Point 2,20,31.53,9.49,,3.2,0.351435896
3-Aug,5km Center,0,6.16,21.9,,8.73,1.054430578
3-Aug,5km Center,1,6.03,21.94,,8.58,1.036283129
3-Aug,5km Center,2,6.03,21.95,,8.41,1.015933929
3-Aug,5km Center,3,6.18,21.98,,8.29,1.002848091
3-Aug,5km Center,4,7.1,22.1,,8.2,0.999419095
3-Aug,5km Center,5,10.59,21.48,,7.89,0.970590229
3-Aug,5km Center,6,18.46,16.97,,7.01,0.830346108
3-Aug,5km Center,7,26.1,14.4,,6.93,0.817935861
3-Aug,5km Center,8,28.78,12.35,,7.06,0.811823952
3-Aug,5km Center,9,29.48,11.91,,6.89,0.788340246
3-Aug,5km Center,10,30.28,11.12,,6.71,0.758439854
3-Aug,5km Center,12,31.01,10.19,,6.37,0.708474162
3-Aug,5km Center,15,31,10.1,,5.86,0.650365279
