"cu","Rmeas","year","enhanced","2.5%","10%","50%","90%","97.5%","line_y"
"Great Central","BYO",1978,"1",-0.112588531253573,0.0405457112778137,0.295632531648287,0.542682546903083,0.694953677330425,1.40689169297372
"Great Central","BYO",1979,"1",-0.185217311695341,-0.0175784227039241,0.228172180234706,0.456911593842279,0.595635953055018,1.40689169297372
"Great Central","BYO",1980,"1",-0.568809472521408,-0.422880611350081,-0.187329538164199,0.0514936327893986,0.195166191036159,1.40689169297372
"Great Central","BYO",1981,"1",0.0298748073611544,0.193616858043411,0.43792765883004,0.656659068166831,0.780922799233854,1.40689169297372
"Great Central","BYO",1982,"1",-0.415986058858449,-0.264378504708794,-0.0233883698791102,0.213194456891768,0.355695205829753,1.40689169297372
"Great Central","BYO",1983,"1",-0.412349509224753,-0.253097930835894,0.00676206762346609,0.252230886688888,0.395371067868201,1.40689169297372
"Great Central","BYO",1984,"1",-0.511591151575781,-0.36039019893096,-0.115694087952685,0.118932012102634,0.264664790352628,1.40689169297372
"Great Central","BYO",1985,"1",-0.552608644128866,-0.396187135959199,-0.151764321546205,0.0945119662655168,0.24488441772752,1.40689169297372
"Great Central","BYO",1986,"1",-0.843089238590383,-0.68586399353449,-0.440450925297421,-0.18020624918578,-0.0173952231881139,1.40689169297372
"Great Central","BYO",1987,"1",-0.701400990462763,-0.544037101545917,-0.285039661732131,-0.0376294136149522,0.118196296334642,1.40689169297372
"Great Central","BYO",1988,"1",-0.43997561410332,-0.283769312975735,-0.0471064468232232,0.182378664037947,0.315257855914555,1.40689169297372
"Great Central","BYO",1989,"1",-0.543077468053437,-0.395712010052801,-0.176798304014653,0.0323478853682968,0.158108969657015,1.40689169297372
"Great Central","BYO",1990,"1",-0.986794360082986,-0.839611709609343,-0.589678696901546,-0.325318569467387,-0.155268284127932,1.40689169297372
"Great Central","BYO",1991,"1",-0.586137528867255,-0.417149386012155,-0.163717135079553,0.0742586616165511,0.207217102996258,1.40689169297372
"Great Central","BYO",1992,"1",-0.822923389794691,-0.681371475254744,-0.435186078457958,-0.179084051978184,-0.0232767537488498,1.40689169297372
"Great Central","BYO",1993,"1",-0.574561324968888,-0.413870915691083,-0.178069052554187,0.0551419138725265,0.193245860391671,1.40689169297372
"Great Central","BYO",1994,"1",-0.366972680159092,-0.233822985089859,-0.00274996892787716,0.217761034849259,0.361179724177896,1.40689169297372
"Great Central","BYO",1995,"1",-0.191343854771914,-0.0311964818468564,0.247073531164329,0.533240543229346,0.701920516654811,1.40689169297372
"Great Central","BYO",1996,"1",0.0671642276634936,0.229824027686103,0.476635239930838,0.695441537840181,0.821891542333894,1.40689169297372
"Great Central","BYO",1997,"1",-0.299638288813225,-0.14683525003794,0.078236718916,0.30959661956227,0.454553816824921,1.40689169297372
"Great Central","BYO",1998,"1",-0.224505695080834,-0.0708340112220467,0.162578138666353,0.383231705141435,0.520936238117296,1.40689169297372
"Great Central","BYO",1999,"1",-0.401489774311248,-0.250797771497128,-0.0115805385412298,0.222283301116038,0.369451719494667,1.40689169297372
"Great Central","BYO",2000,"1",-0.134448692392979,0.0434944293362344,0.327443820306224,0.607861352534195,0.769807622317612,1.40689169297372
"Great Central","BYO",2001,"1",-0.483419553072495,-0.325834588684957,-0.0659257210329116,0.191803411364721,0.339840527059033,1.40689169297372
"Great Central","BYO",2002,"1",-0.543512923659547,-0.365872426752229,-0.100280301503077,0.159061196524109,0.311355085096131,1.40689169297372
"Great Central","BYO",2003,"1",-0.674915276454288,-0.504484549962281,-0.241044186797038,0.0243583592487206,0.1798627718671,1.40689169297372
"Great Central","BYO",2004,"1",-0.840404437228162,-0.682529277008427,-0.431424281873674,-0.165019365140283,0.00234868080754723,1.40689169297372
"Great Central","BYO",2005,"1",-0.622808739553455,-0.457362084762916,-0.196349443110757,0.0548876605874666,0.21718797505079,1.40689169297372
"Great Central","BYO",2006,"1",-0.670459760599141,-0.5174719456304,-0.268829282619525,-0.0168642003882692,0.150114323439205,1.40689169297372
"Great Central","BYO",2007,"1",-0.497387386335762,-0.345547163102836,-0.0982298826616361,0.157661504905308,0.308000775288909,1.40689169297372
"Great Central","BYO",2008,"1",-0.0270094348040094,0.125907356070225,0.37554292925456,0.628826263487613,0.769068813514912,1.40689169297372
"Great Central","BYO",2009,"1",-0.0232083376897627,0.124191065908125,0.357090770338005,0.582623206168706,0.715803638213635,1.40689169297372
