"call","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","deltaAIC"
"wSom ~ rAir",0.860502582520853,0.859937815648467,2.15355686609344,1523.64209835227,1.23428465540093e-107,1,-543.324744117288,1092.64948823458,1103.20184692397,1145.53837234806,247,249,68.1
"wSom ~ poly(rAir, 2, raw = TRUE)",0.861389379518052,0.860262463904378,2.15105956787283,764.377890469937,2.76038994858289e-106,2,-542.530760590927,1093.06152118185,1107.13133276771,1138.25608707617,246,249,68.5
"wSom ~ poly(rAir, 3, raw = TRUE)",0.874239600919394,0.872699677665346,2.05310257730445,567.71634470818,5.79489416950483e-110,3,-530.418129614343,1070.83625922869,1088.42352371101,1032.73139726888,245,249,46.3
"wSom ~ rAirL1",0.875301946327081,0.874797095907353,2.03611872441309,1733.78472538053,1.18166615443197e-113,1,-529.361964050789,1064.72392810158,1075.27628679097,1024.00752659668,247,249,40.2
"wSom ~ poly(rAirL1, 2, raw = TRUE)",0.878856258610042,0.877871350143457,2.01096575264235,892.322777625521,1.76206049774043e-113,2,-525.761740458993,1059.52348091799,1073.59329250384,994.819881541898,246,249,35
"wSom ~ poly(rAirL1, 3, raw = TRUE)",0.895584642520147,0.894306087122435,1.87077210089274,700.466044820955,7.4600828695906e-120,3,-507.260913594487,1024.52182718897,1042.1090916713,857.448122102267,245,249,0
