"date","sensor","staff","year"
2013-11-06,1.10764285714286,1.37564285714286,2013
2013-11-07,1.30283333333333,1.57083333333333,2013
2013-11-08,1.37441666666667,1.64241666666667,2013
2013-11-09,1.34720833333333,1.61520833333333,2013
2013-11-10,1.33858333333333,1.60658333333333,2013
2013-11-11,1.30904166666667,1.57704166666667,2013
2013-11-12,1.47554166666667,1.74354166666667,2013
2013-11-13,1.58258333333333,1.85058333333333,2013
2013-11-14,1.558125,1.826125,2013
2013-11-15,1.51183333333333,1.77983333333333,2013
2013-11-16,1.45766666666667,1.72566666666667,2013
2013-11-17,1.41570833333333,1.68370833333333,2013
2013-11-18,1.38979166666667,1.65779166666667,2013
2013-11-19,1.36708333333333,1.63508333333333,2013
2013-11-20,1.34929166666667,1.61729166666667,2013
2013-11-21,1.32879166666667,1.59679166666667,2013
2013-11-22,1.30258333333333,1.57058333333333,2013
2013-11-23,1.27316666666667,1.54116666666667,2013
2013-11-24,1.25741666666667,1.52541666666667,2013
2013-11-25,1.24095833333333,1.50895833333333,2013
2013-11-26,1.21020833333333,1.47820833333333,2013
2013-11-27,1.182,1.45,2013
2013-11-28,1.168,1.436,2013
2013-11-29,1.154875,1.422875,2013
2013-11-30,1.15129166666667,1.41929166666667,2013
2013-12-01,1.16183333333333,1.42983333333333,2013
2013-12-02,1.17004166666667,1.43804166666667,2013
2013-12-03,1.15804166666667,1.42604166666667,2013
2013-12-04,1.14420833333333,1.41220833333333,2013
2013-12-05,1.14558333333333,1.41358333333333,2013
2013-12-06,1.13904166666667,1.40704166666667,2013
2013-12-07,1.13175,1.39975,2013
2013-12-08,1.12133333333333,1.38933333333333,2013
2013-12-09,1.11591666666667,1.38391666666667,2013
2013-12-10,1.10541666666667,1.37341666666667,2013
2013-12-11,1.09625,1.36425,2013
2013-12-12,1.09929166666667,1.36729166666667,2013
2013-12-13,1.09683333333333,1.36483333333333,2013
2013-12-14,1.087375,1.355375,2013
2013-12-15,1.09895833333333,1.36695833333333,2013
2013-12-16,1.09708333333333,1.36508333333333,2013
2013-12-17,1.08870833333333,1.35670833333333,2013
2013-12-18,1.08320833333333,1.35120833333333,2013
2013-12-19,1.0655,1.3335,2013
2013-12-20,1.05158333333333,1.31958333333333,2013
2013-12-21,1.050625,1.318625,2013
2013-12-22,1.04666666666667,1.31466666666667,2013
2013-12-23,1.06454166666667,1.33254166666667,2013
