"date","mtemp","mair","year"
2017-11-28,7.84904166666667,5.12025,2017
2017-11-29,7.93495833333333,5.85258333333333,2017
2017-11-30,7.91679166666667,6.283625,2017
2017-12-01,7.80979166666667,4.934375,2017
2017-12-02,7.612,3.23183333333333,2017
2017-12-03,7.53625,2.48820833333333,2017
2017-12-04,7.45858333333333,2.44625,2017
2017-12-05,7.400875,2.83033333333333,2017
2017-12-06,7.3175,1.73420833333333,2017
2017-12-07,7.16420833333333,0.588333333333333,2017
2017-12-08,6.97929166666667,0.387208333333333,2017
2017-12-09,6.85141666666667,0.540625,2017
2017-12-10,6.79704166666667,2.37666666666667,2017
2017-12-11,6.62758333333333,0.985666666666667,2017
2017-12-12,6.65079166666667,2.87425,2017
2017-12-13,6.67191666666667,2.85483333333333,2017
2017-12-14,6.52075,1.86079166666667,2017
2017-12-15,6.65341666666667,4.42541666666667,2017
2017-12-16,6.70325,4.69816666666667,2017
2017-12-17,6.71891666666667,5.3125,2017
2017-12-18,6.679875,5.25591666666667,2017
2017-12-19,6.34625,1.644875,2017
2017-12-20,5.755375,0.232041666666667,2017
2017-12-21,5.67466666666667,-0.0282083333333333,2017
2017-12-22,5.46866666666667,-0.0207083333333333,2017
2017-12-23,4.53904166666667,-2.6385,2017
2017-12-24,4.28908333333333,-1.59970833333333,2017
2017-12-25,4.552125,-0.324666666666667,2017
2017-12-26,4.84645833333333,0.411041666666667,2017
2017-12-27,4.96083333333333,0.77,2017
2017-12-28,4.93779166666667,1.0425,2017
2017-12-29,4.82829166666667,0.942833333333333,2017
2017-12-30,4.80741666666667,1.07508333333333,2017
2017-12-31,4.75541666666667,0.346583333333333,2017
2018-01-01,4.758,0.44825,2018
2018-01-02,4.69783333333333,0.483916666666667,2018
2018-01-03,4.78904166666667,0.496625,2018
2018-01-04,4.75533333333333,1.094625,2018
2018-01-05,4.94529166666667,3.11770833333333,2018
2018-01-06,5.09645833333333,4.11279166666667,2018
2018-01-07,5.091,3.378375,2018
2018-01-08,5.15083333333333,4.16733333333333,2018
2018-01-09,5.205625,3.91775,2018
2018-01-10,5.30733333333333,3.75220833333333,2018
2018-01-11,5.3175,3.50129166666667,2018
2018-01-12,5.32054166666667,3.84025,2018
2018-01-13,5.47654166666667,4.99058333333333,2018
2018-01-14,5.4375,4.409,2018
2018-01-15,5.494875,4.51833333333333,2018
2018-01-16,5.674625,6.06058333333333,2018
2018-01-17,5.55979166666667,5.58670833333333,2018
2018-01-18,5.606625,5.60483333333333,2018
2018-01-19,5.50508333333333,3.97525,2018
2018-01-20,5.361875,4.04666666666667,2018
2018-01-21,5.505125,5.58795833333333,2018
2018-01-22,5.25008333333333,4.09033333333333,2018
2018-01-23,5.093625,3.23833333333333,2018
2018-01-24,5.09383333333333,3.93,2018
2018-01-25,5.02079166666667,2.45570833333333,2018
2018-01-26,5.007875,2.41370833333333,2018
2018-01-27,5.0365,3.26216666666667,2018
2018-01-28,4.96358333333333,3.05425,2018
2018-01-29,4.87245833333333,4.80870833333333,2018
2018-01-30,4.67725,3.38458333333333,2018
2018-01-31,4.659,1.65075,2018
2018-02-01,4.73695833333333,2.20345833333333,2018
2018-02-02,4.952875,4.526625,2018
2018-02-03,5.14308333333333,5.58979166666667,2018
2018-02-04,5.24770833333333,5.89533333333333,2018
2018-02-05,5.16395833333333,5.451125,2018
2018-02-06,5.16941666666667,5.34904166666667,2018
2018-02-07,5.28916666666667,6.19283333333333,2018
2018-02-08,5.41920833333333,5.61770833333333,2018
2018-02-09,5.14054166666667,3.02525,2018
2018-02-10,4.89579166666667,0.808875,2018
2018-02-11,5.00795833333333,2.11725,2018
2018-02-12,4.78895833333333,0.138458333333333,2018
2018-02-13,4.84645833333333,1.46145833333333,2018
2018-02-14,4.89308333333333,1.7225,2018
2018-02-15,4.77866666666667,1.26191666666667,2018
2018-02-16,4.99229166666667,3.88704166666667,2018
2018-02-17,5.067625,3.349875,2018
2018-02-18,4.466125,-0.859416666666667,2018
2018-02-19,3.90104166666667,-2.08741666666667,2018
2018-02-20,4.151125,-1.125,2018
2018-02-21,3.789125,-2.20429166666667,2018
2018-02-22,3.89858333333333,-1.21458333333333,2018
2018-02-23,3.992125,0.129,2018
2018-02-24,4.30716666666667,1.62970833333333,2018
2018-02-25,4.41925,2.0725,2018
2018-02-26,4.11716666666667,0.954333333333333,2018
2018-02-27,4.62766666666667,3.42566666666667,2018
2018-02-28,4.45816666666667,2.60783333333333,2018
2018-03-01,4.31508333333333,2.259375,2018
2018-03-02,4.34116666666667,2.13170833333333,2018
2018-03-03,4.55991666666667,3.12666666666667,2018
2018-03-04,4.671875,2.83425,2018
2018-03-05,4.580625,2.49875,2018
2018-03-06,4.98170833333333,4.04995833333333,2018
2018-03-07,4.90879166666667,3.35795833333333,2018
2018-03-08,5.22654166666667,4.53145833333333,2018
2018-03-09,5.11458333333333,3.507625,2018
2018-03-10,5.11191666666667,3.165375,2018
2018-03-11,5.40354166666667,4.272625,2018
2018-03-12,5.54429166666667,5.81470833333333,2018
2018-03-13,5.64575,5.62283333333333,2018
2018-03-14,5.947875,6.22404166666667,2018
2018-03-15,5.84891666666667,4.642,2018
2018-03-16,5.90625,4.88191666666667,2018
2018-03-17,6.3985,6.45054166666667,2018
2018-03-18,6.502625,6.09779166666667,2018
2018-03-19,6.65354166666667,6.887375,2018
2018-03-20,6.77870833333333,6.49079166666667,2018
2018-03-21,6.78895833333333,5.999125,2018
2018-03-22,6.72125,4.40079166666667,2018
2018-03-23,6.13279166666667,2.74529166666667,2018
2018-03-24,6.16933333333333,3.94791666666667,2018
2018-03-25,6.21358333333333,4.63920833333333,2018
2018-03-26,6.265625,6.47358333333333,2018
2018-03-27,6.75,9.19175,2018
2018-03-28,7.08329166666667,7.87975,2018
2018-03-29,7.36716666666667,8.092,2018
2018-03-30,7.86975,9.32195833333333,2018
2018-03-31,8.13275,8.40779166666667,2018
2018-04-01,8.190125,6.17454166666667,2018
2018-04-02,7.69795833333333,4.76616666666667,2018
2018-04-03,7.74741666666667,5.95691666666667,2018
2018-04-04,7.71358333333333,4.92445833333333,2018
2018-04-05,7.85154166666667,6.36816666666667,2018
2018-04-06,8.47920833333333,9.62220833333333,2018
2018-04-07,8.2735,8.58079166666667,2018
2018-04-08,7.875,8.89416666666667,2018
2018-04-09,8.12775,9.19241666666667,2018
2018-04-10,7.80720833333333,7.34770833333333,2018
2018-04-11,7.19541666666667,5.930375,2018
2018-04-12,7.104125,6.643875,2018
2018-04-13,7.03895833333333,5.25633333333333,2018
2018-04-14,7.125,6.22,2018
2018-04-15,7.33341666666667,6.67745833333333,2018
2018-04-16,7.635625,7.5445,2018
2018-04-17,7.554625,7.50854166666667,2018
2018-04-18,7.84116666666667,7.08170833333333,2018
2018-04-19,8.08583333333333,7.61558333333333,2018
2018-04-20,8.26554166666667,7.73275,2018
2018-04-21,8.32033333333333,7.37158333333333,2018
2018-04-22,8.52083333333333,7.61258333333333,2018
2018-04-23,9.093625,9.766625,2018
2018-04-24,9.89058333333333,11.7204166666667,2018
2018-04-25,10.484375,13.313125,2018
2018-04-26,11.0885416666667,14.519,2018
2018-04-27,11.41925,13.1275,2018
2018-04-28,9.69795833333333,9.75279166666667,2018
2018-04-29,9.64066666666667,10.0041666666667,2018
2018-04-30,10.1353333333333,11.9681666666667,2018
2018-05-01,10.7319166666667,12.2614583333333,2018
2018-05-02,10.9222,13.31628,2018
2018-05-03,11.309875,14.1725416666667,2018
2018-05-04,10.6015416666667,11.9149166666667,2018
2018-05-05,11.2109166666667,13.4912083333333,2018
2018-05-06,12.2629583333333,14.9539583333333,2018
2018-05-07,12.7709583333333,15.35625,2018
2018-05-08,13.0469583333333,14.7434583333333,2018
2018-05-09,12.3618333333333,12.534,2018
2018-05-10,10.7449166666667,11.00925,2018
2018-05-11,12.309875,14.2180416666667,2018
2018-05-12,13.9400833333333,15.8957083333333,2018
2018-05-13,14.708375,17.4758333333333,2018
2018-05-14,15.5885833333333,18.5000833333333,2018
2018-05-15,15.450625,17.3024583333333,2018
2018-05-16,13.422,16.0118333333333,2018
2018-05-17,12.7760416666667,16.3416666666667,2018
2018-05-18,12.9374583333333,16.4085,2018
