"model","call","AIC","deltaAIC","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","BIC","deviance","df.residual","nobs"
9,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 3)",887.303401267515,0,0.912220936449301,0.909349658669605,1.74595676293783,317.705567500318,2.5913464071108e-109,7,-434.651700633757,917.927497704365,652.350113862343,214,222
3,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 3)",893.344857273159,6.041,0.908159369304868,0.906033428779518,1.77760577594029,427.180045008661,7.57888102891623e-110,5,-439.67242863658,917.163598946265,682.534575645758,216,222
6,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 3)",895.267239822849,7.964,0.908191473762453,0.905629375355823,1.78142350194191,354.471737468232,1.58818894601793e-108,6,-439.633619911425,922.488658877827,682.295984053258,215,222
7,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 1)",911.752926241379,24.45,0.900219374674146,0.897909637976789,1.85285372380069,389.749782173861,5.79655329190297e-106,5,-448.876463120689,935.571667914485,741.542455109249,216,222
8,"Somass ~ poly(Sproat Flow, 3) + poly(Air Temp, 2)",912.923841184969,25.62,0.900591322157725,0.89781712649701,1.85369303625966,324.631508480453,8.06984168440032e-105,6,-448.461920592484,940.145260239947,738.778242625673,215,222
1,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 1)",917.981353039422,30.678,0.895514529438935,0.894076655990847,1.88731592408742,622.804830723944,1.33665021225259e-106,3,-453.990676519711,934.994739948784,776.507584614444,218,222
4,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 1)",918.562682665555,31.259,0.896180105215651,0.894266374436216,1.88562498844374,468.289539388728,1.81431232795358e-105,4,-453.281341332778,938.978746956789,771.561206558428,217,222
2,"Somass ~ poly(Sproat Flow, 1) + poly(Air Temp, 2)",919.535839703036,32.232,0.895724002382591,0.893801864177662,1.88976242465933,466.003953350266,2.91777742082638e-105,4,-453.767919851518,939.95190399427,774.950838698988,217,222
5,"Somass ~ poly(Sproat Flow, 2) + poly(Air Temp, 2)",920.37521374783,33.072,0.896267739394998,0.893866529658771,1.8891869860993,373.25674882667,3.81976180151037e-104,5,-453.187606873915,944.193955420936,770.909933184541,216,222
