"id","type","latitude","longitude","type_2","identifier","station_number","prov_terr_state_loc","station_name","level_symbol_fr","discharge","date","discharge_symbol_en","level_symbol_en","discharge_symbol_fr","level"
"08HB017.1961-02-03","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-03","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,326,"1961-02-03",NA,NA,NA,NA
"08HB017.1961-02-04","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-04","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,289,"1961-02-04",NA,NA,NA,NA
"08HB017.1961-02-05","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-05","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,331,"1961-02-05",NA,NA,NA,NA
"08HB017.1961-02-06","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-06","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,513,"1961-02-06",NA,NA,NA,NA
"08HB017.1961-02-07","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-07","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,490,"1961-02-07",NA,NA,NA,NA
"08HB017.1961-02-08","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-08","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,425,"1961-02-08",NA,NA,NA,NA
"08HB017.1961-02-09","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-09","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,481,"1961-02-09",NA,NA,NA,NA
"08HB017.1961-02-10","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-10","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,425,"1961-02-10",NA,NA,NA,NA
"08HB017.1961-02-11","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-11","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,368,"1961-02-11",NA,NA,NA,NA
"08HB017.1961-02-12","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-12","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,320,"1961-02-12",NA,NA,NA,NA
"08HB017.1961-02-13","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-13","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,294,"1961-02-13",NA,NA,NA,NA
"08HB017.1961-02-14","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-14","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,265,"1961-02-14",NA,NA,NA,NA
"08HB017.1961-02-15","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-15","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,234,"1961-02-15",NA,NA,NA,NA
"08HB017.1961-02-16","Feature",-124.866668701172,49.2852783203125,"Point","08HB017.1961-02-16","08HB017","BC","SOMASS RIVER NEAR ALBERNI",NA,210,"1961-02-16",NA,NA,NA,NA
